Core: MebX_Qsys_Project_mem_if_ddr3_emif_0_p0 - Instance: SOPC_INST|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",0.256,0.252
"Bus Turnaround Time (Slow 900mV 85C Model)",2.619,--
"Core (Slow 900mV 85C Model)",-0.668,0.211
"Core Recovery/Removal (Slow 900mV 85C Model)",-0.273,0.448
"Read Capture (Slow 900mV 85C Model)",0.114,0.074
"Read Resync (Slow 900mV 85C Model)",0.494,1.415
"Write (Slow 900mV 85C Model)",-0.087,-0.042
"Write Leveling tDQSS (Slow 900mV 85C Model)",-0.072,-0.072
"Write Leveling tDSS/tDSH (Slow 900mV 85C Model)",-0.066,-0.066
"Address Command (Slow 900mV 0C Model)",0.287,0.264
"Bus Turnaround Time (Slow 900mV 0C Model)",2.644,--
"Core (Slow 900mV 0C Model)",-0.357,0.191
"Core Recovery/Removal (Slow 900mV 0C Model)",-0.133,0.435
"Read Capture (Slow 900mV 0C Model)",0.116,0.076
"Read Resync (Slow 900mV 0C Model)",0.634,1.551
"Write (Slow 900mV 0C Model)",-0.029,-0.027
"Write Leveling tDQSS (Slow 900mV 0C Model)",-0.072,-0.072
"Write Leveling tDSS/tDSH (Slow 900mV 0C Model)",-0.066,-0.066
"Address Command (Fast 900mV 0C Model)",0.344,0.32
"Bus Turnaround Time (Fast 900mV 0C Model)",2.687,--
"Core (Fast 900mV 0C Model)",-0.665,0.129
"Core Recovery/Removal (Fast 900mV 0C Model)",0.11,0.259
"Read Capture (Fast 900mV 0C Model)",0.147,0.107
"Read Resync (Fast 900mV 0C Model)",1.251,1.955
"Write (Fast 900mV 0C Model)",-0.018,-0.018
"Write Leveling tDQSS (Fast 900mV 0C Model)",0.0,-0.032
"Write Leveling tDSS/tDSH (Fast 900mV 0C Model)",-0.066,-0.066
